FullDate,Service_ID,KPI_ID,Value
12/05/2024,Service_ID11,KPI_1,0.83
13/05/2024,Service_ID11,KPI_1,0.50
14/05/2024,Service_ID11,KPI_1,1.74
15/05/2024,Service_ID11,KPI_1,0.81
03/04/2024,Service_ID12,KPI_1,4.50
06/04/2024,Service_ID12,KPI_1,0.50
16/04/2024,Service_ID12,KPI_1,4.50
18/04/2024,Service_ID12,KPI_1,4.50
19/04/2024,Service_ID12,KPI_1,2.50
20/04/2024,Service_ID12,KPI_1,0.50
22/04/2024,Service_ID12,KPI_1,0.50
02/05/2024,Service_ID12,KPI_1,0.50
04/05/2024,Service_ID12,KPI_1,0.50
06/05/2024,Service_ID12,KPI_1,1.50
13/05/2024,Service_ID12,KPI_1,0.50
15/04/2024,Service_ID13,KPI_1,0.50
29/04/2024,Service_ID13,KPI_1,1.50
03/04/2024,Service_ID14,KPI_1,0.50
04/04/2024,Service_ID14,KPI_1,0.50
12/04/2024,Service_ID14,KPI_1,4.50
22/04/2024,Service_ID14,KPI_1,0.50
23/04/2024,Service_ID14,KPI_1,2.50
29/04/2024,Service_ID14,KPI_1,0.50
10/05/2024,Service_ID14,KPI_1,2.50
13/05/2024,Service_ID14,KPI_1,4.50
01/04/2024,Service_ID15,KPI_1,0.50
02/04/2024,Service_ID15,KPI_1,0.50
03/04/2024,Service_ID15,KPI_1,0.50
04/04/2024,Service_ID15,KPI_1,2.50
08/04/2024,Service_ID15,KPI_1,0.50
13/04/2024,Service_ID15,KPI_1,1.50
14/04/2024,Service_ID15,KPI_1,0.50
15/04/2024,Service_ID15,KPI_1,1.83
04/04/2024,Service_ID16,KPI_1,4.50
15/04/2024,Service_ID16,KPI_1,0.50
20/04/2024,Service_ID16,KPI_1,4.50
22/04/2024,Service_ID16,KPI_1,0.50
23/04/2024,Service_ID16,KPI_1,0.50
01/05/2024,Service_ID16,KPI_1,1.50
13/05/2024,Service_ID16,KPI_1,0.50
14/05/2024,Service_ID16,KPI_1,3.00
06/04/2024,Service_ID17,KPI_1,4.50
28/04/2024,Service_ID18,KPI_1,0.50
30/04/2024,Service_ID18,KPI_1,0.50
01/05/2024,Service_ID18,KPI_1,0.50
01/04/2024,Service_ID19,KPI_1,4.50
08/05/2024,Service_ID19,KPI_1,1.50
02/04/2024,Service_ID20,KPI_1,0.50
03/04/2024,Service_ID20,KPI_1,0.50
04/04/2024,Service_ID21,KPI_1,2.75
05/04/2024,Service_ID21,KPI_1,1.50
03/05/2024,Service_ID21,KPI_1,4.50
14/05/2024,Service_ID21,KPI_1,0.50
10/05/2024,Service_ID22,KPI_1,0.50
01/04/2024,Service_ID23,KPI_1,1.13
02/04/2024,Service_ID23,KPI_1,0.84
03/04/2024,Service_ID23,KPI_1,0.94
04/04/2024,Service_ID23,KPI_1,1.00
05/04/2024,Service_ID23,KPI_1,1.07
06/04/2024,Service_ID23,KPI_1,1.07
07/04/2024,Service_ID23,KPI_1,1.38
08/04/2024,Service_ID23,KPI_1,2.00
09/04/2024,Service_ID23,KPI_1,1.70
10/04/2024,Service_ID23,KPI_1,1.50
11/04/2024,Service_ID23,KPI_1,0.65
12/04/2024,Service_ID23,KPI_1,0.91
13/04/2024,Service_ID23,KPI_1,0.89
14/04/2024,Service_ID23,KPI_1,1.14
15/04/2024,Service_ID23,KPI_1,0.71
16/04/2024,Service_ID23,KPI_1,0.74
17/04/2024,Service_ID23,KPI_1,0.85
18/04/2024,Service_ID23,KPI_1,0.97
19/04/2024,Service_ID23,KPI_1,1.03
20/04/2024,Service_ID23,KPI_1,0.83
21/04/2024,Service_ID23,KPI_1,0.82
22/04/2024,Service_ID23,KPI_1,0.74
23/04/2024,Service_ID23,KPI_1,0.80
24/04/2024,Service_ID23,KPI_1,0.93
25/04/2024,Service_ID23,KPI_1,0.98
26/04/2024,Service_ID23,KPI_1,1.13
27/04/2024,Service_ID23,KPI_1,0.96
28/04/2024,Service_ID23,KPI_1,0.82
29/04/2024,Service_ID23,KPI_1,1.07
30/04/2024,Service_ID23,KPI_1,1.10
01/05/2024,Service_ID23,KPI_1,1.01
02/05/2024,Service_ID23,KPI_1,0.95
03/05/2024,Service_ID23,KPI_1,1.20
04/05/2024,Service_ID23,KPI_1,1.13
05/05/2024,Service_ID23,KPI_1,0.86
06/05/2024,Service_ID23,KPI_1,0.94
07/05/2024,Service_ID23,KPI_1,0.90
08/05/2024,Service_ID23,KPI_1,0.87
09/05/2024,Service_ID23,KPI_1,0.95
10/05/2024,Service_ID23,KPI_1,0.72
11/05/2024,Service_ID23,KPI_1,1.08
12/05/2024,Service_ID23,KPI_1,1.09
13/05/2024,Service_ID23,KPI_1,0.76
14/05/2024,Service_ID23,KPI_1,0.76
15/05/2024,Service_ID23,KPI_1,0.88
01/04/2024,Service_ID24,KPI_1,0.50
02/04/2024,Service_ID24,KPI_1,0.75
15/04/2024,Service_ID24,KPI_1,0.50
19/04/2024,Service_ID24,KPI_1,4.50
20/04/2024,Service_ID24,KPI_1,0.50
23/04/2024,Service_ID24,KPI_1,3.50
24/04/2024,Service_ID24,KPI_1,3.50
29/04/2024,Service_ID24,KPI_1,2.50
01/05/2024,Service_ID24,KPI_1,1.17
02/05/2024,Service_ID24,KPI_1,0.50
04/05/2024,Service_ID24,KPI_1,4.50
08/05/2024,Service_ID24,KPI_1,3.00
09/05/2024,Service_ID24,KPI_1,1.83
11/05/2024,Service_ID24,KPI_1,4.50
13/05/2024,Service_ID24,KPI_1,4.50
05/04/2024,Service_ID25,KPI_1,1.50
23/04/2024,Service_ID25,KPI_1,0.75
26/04/2024,Service_ID25,KPI_1,0.50
27/04/2024,Service_ID25,KPI_1,0.50
29/04/2024,Service_ID25,KPI_1,0.50
04/05/2024,Service_ID25,KPI_1,0.50
07/05/2024,Service_ID25,KPI_1,0.50
08/05/2024,Service_ID25,KPI_1,0.50
10/05/2024,Service_ID25,KPI_1,0.50
14/05/2024,Service_ID25,KPI_1,0.50
01/04/2024,Service_ID26,KPI_1,0.50
04/04/2024,Service_ID26,KPI_1,4.50
05/04/2024,Service_ID26,KPI_1,1.50
16/04/2024,Service_ID26,KPI_1,0.50
18/04/2024,Service_ID26,KPI_1,0.50
20/04/2024,Service_ID26,KPI_1,0.50
28/04/2024,Service_ID26,KPI_1,0.50
30/04/2024,Service_ID26,KPI_1,0.50
01/05/2024,Service_ID26,KPI_1,0.50
02/05/2024,Service_ID26,KPI_1,0.50
07/05/2024,Service_ID26,KPI_1,2.50
08/05/2024,Service_ID26,KPI_1,0.50
09/05/2024,Service_ID26,KPI_1,1.00
10/05/2024,Service_ID26,KPI_1,0.83
11/05/2024,Service_ID26,KPI_1,0.50
12/05/2024,Service_ID26,KPI_1,0.50
13/05/2024,Service_ID26,KPI_1,0.50
14/05/2024,Service_ID26,KPI_1,0.50
15/05/2024,Service_ID26,KPI_1,1.50
02/04/2024,Service_ID27,KPI_1,0.50
19/04/2024,Service_ID27,KPI_1,0.50
11/05/2024,Service_ID27,KPI_1,0.50
03/04/2024,Service_ID28,KPI_1,0.50
23/04/2024,Service_ID28,KPI_1,1.50
24/04/2024,Service_ID28,KPI_1,0.50
30/04/2024,Service_ID28,KPI_1,0.50
01/05/2024,Service_ID28,KPI_1,0.50
03/05/2024,Service_ID28,KPI_1,0.50
03/04/2024,Service_ID29,KPI_1,0.50
04/04/2024,Service_ID29,KPI_1,1.00
06/04/2024,Service_ID29,KPI_1,0.50
11/04/2024,Service_ID29,KPI_1,0.50
12/04/2024,Service_ID29,KPI_1,0.50
14/04/2024,Service_ID29,KPI_1,0.50
17/04/2024,Service_ID29,KPI_1,2.50
18/04/2024,Service_ID29,KPI_1,0.50
22/04/2024,Service_ID29,KPI_1,0.50
02/05/2024,Service_ID29,KPI_1,2.00
07/05/2024,Service_ID29,KPI_1,0.50
08/05/2024,Service_ID29,KPI_1,0.50
09/05/2024,Service_ID29,KPI_1,0.50
14/05/2024,Service_ID29,KPI_1,0.50
01/04/2024,Service_ID30,KPI_1,2.50
25/04/2024,Service_ID30,KPI_1,0.50
10/05/2024,Service_ID30,KPI_1,1.83
03/05/2024,Service_ID31,KPI_1,0.50
15/04/2024,Service_ID32,KPI_1,0.50
25/04/2024,Service_ID33,KPI_1,0.50
07/05/2024,Service_ID34,KPI_1,0.50
09/05/2024,Service_ID34,KPI_1,2.50
15/04/2024,Service_ID35,KPI_1,0.50
16/04/2024,Service_ID35,KPI_1,0.50
21/04/2024,Service_ID35,KPI_1,0.50
25/04/2024,Service_ID35,KPI_1,0.50
07/05/2024,Service_ID35,KPI_1,0.50
08/05/2024,Service_ID35,KPI_1,0.50
10/05/2024,Service_ID35,KPI_1,0.50
12/05/2024,Service_ID35,KPI_1,0.50
16/04/2024,Service_ID36,KPI_1,4.50
18/04/2024,Service_ID36,KPI_1,0.50
20/04/2024,Service_ID36,KPI_1,0.50
13/05/2024,Service_ID36,KPI_1,0.50
15/05/2024,Service_ID36,KPI_1,0.50
05/04/2024,Service_ID37,KPI_1,0.50
17/04/2024,Service_ID37,KPI_1,0.50
19/04/2024,Service_ID37,KPI_1,0.50
21/04/2024,Service_ID37,KPI_1,0.50
24/04/2024,Service_ID37,KPI_1,1.50
25/04/2024,Service_ID37,KPI_1,0.50
26/04/2024,Service_ID37,KPI_1,0.50
30/04/2024,Service_ID37,KPI_1,0.50
07/05/2024,Service_ID37,KPI_1,0.50
08/05/2024,Service_ID37,KPI_1,0.50
14/05/2024,Service_ID37,KPI_1,0.50
10/04/2024,Service_ID38,KPI_1,0.50
13/05/2024,Service_ID38,KPI_1,0.50
02/04/2024,Service_ID39,KPI_1,0.50
15/04/2024,Service_ID39,KPI_1,0.50
16/04/2024,Service_ID39,KPI_1,1.50
18/04/2024,Service_ID39,KPI_1,0.50
19/04/2024,Service_ID39,KPI_1,0.50
20/04/2024,Service_ID39,KPI_1,0.50
23/04/2024,Service_ID39,KPI_1,0.50
25/04/2024,Service_ID39,KPI_1,0.50
26/04/2024,Service_ID39,KPI_1,0.75
27/04/2024,Service_ID39,KPI_1,0.50
29/04/2024,Service_ID39,KPI_1,0.50
01/05/2024,Service_ID39,KPI_1,0.50
02/05/2024,Service_ID39,KPI_1,0.50
03/05/2024,Service_ID39,KPI_1,0.50
07/05/2024,Service_ID39,KPI_1,0.50
08/05/2024,Service_ID39,KPI_1,0.50
11/05/2024,Service_ID39,KPI_1,0.50
19/04/2024,Service_ID40,KPI_1,0.50
22/04/2024,Service_ID40,KPI_1,4.50
14/05/2024,Service_ID40,KPI_1,0.50
01/04/2024,Service_ID41,KPI_1,0.50
02/04/2024,Service_ID41,KPI_1,0.50
03/04/2024,Service_ID41,KPI_1,1.17
04/04/2024,Service_ID41,KPI_1,1.00
05/04/2024,Service_ID41,KPI_1,3.50
06/04/2024,Service_ID41,KPI_1,1.83
08/04/2024,Service_ID41,KPI_1,1.17
09/04/2024,Service_ID41,KPI_1,0.75
10/04/2024,Service_ID41,KPI_1,2.00
11/04/2024,Service_ID41,KPI_1,1.17
12/04/2024,Service_ID41,KPI_1,0.50
14/04/2024,Service_ID41,KPI_1,0.50
15/04/2024,Service_ID41,KPI_1,0.50
16/04/2024,Service_ID41,KPI_1,0.50
18/04/2024,Service_ID41,KPI_1,0.50
19/04/2024,Service_ID41,KPI_1,1.00
20/04/2024,Service_ID41,KPI_1,1.17
21/04/2024,Service_ID41,KPI_1,1.17
22/04/2024,Service_ID41,KPI_1,1.00
23/04/2024,Service_ID41,KPI_1,0.70
24/04/2024,Service_ID41,KPI_1,0.50
25/04/2024,Service_ID41,KPI_1,0.50
26/04/2024,Service_ID41,KPI_1,1.00
27/04/2024,Service_ID41,KPI_1,0.61
28/04/2024,Service_ID41,KPI_1,0.50
30/04/2024,Service_ID41,KPI_1,0.50
01/05/2024,Service_ID41,KPI_1,1.25
03/05/2024,Service_ID41,KPI_1,1.50
04/05/2024,Service_ID41,KPI_1,0.50
05/05/2024,Service_ID41,KPI_1,1.50
06/05/2024,Service_ID41,KPI_1,1.50
07/05/2024,Service_ID41,KPI_1,1.75
08/05/2024,Service_ID41,KPI_1,0.50
09/05/2024,Service_ID41,KPI_1,0.50
10/05/2024,Service_ID41,KPI_1,1.00
11/05/2024,Service_ID41,KPI_1,1.00
12/05/2024,Service_ID41,KPI_1,1.50
13/05/2024,Service_ID41,KPI_1,1.17
14/05/2024,Service_ID41,KPI_1,0.50
15/05/2024,Service_ID41,KPI_1,0.75
04/05/2024,Service_ID42,KPI_1,0.50
02/04/2024,Service_ID43,KPI_1,0.50
03/04/2024,Service_ID43,KPI_1,0.50
05/04/2024,Service_ID43,KPI_1,1.50
19/04/2024,Service_ID43,KPI_1,2.50
22/04/2024,Service_ID43,KPI_1,0.50
24/04/2024,Service_ID43,KPI_1,0.50
28/04/2024,Service_ID43,KPI_1,0.50
30/04/2024,Service_ID43,KPI_1,0.50
02/05/2024,Service_ID43,KPI_1,0.50
03/05/2024,Service_ID43,KPI_1,0.50
06/05/2024,Service_ID43,KPI_1,0.50
09/05/2024,Service_ID43,KPI_1,3.17
12/05/2024,Service_ID43,KPI_1,0.50
14/05/2024,Service_ID43,KPI_1,0.50
10/05/2024,Service_ID44,KPI_1,0.50
06/05/2024,Service_ID45,KPI_1,0.50
13/05/2024,Service_ID45,KPI_1,0.50
01/04/2024,Service_ID46,KPI_1,0.50
04/04/2024,Service_ID46,KPI_1,0.50
07/04/2024,Service_ID46,KPI_1,0.50
11/04/2024,Service_ID46,KPI_1,0.50
13/04/2024,Service_ID46,KPI_1,0.50
14/04/2024,Service_ID46,KPI_1,0.50
19/04/2024,Service_ID46,KPI_1,0.50
20/04/2024,Service_ID46,KPI_1,0.50
21/04/2024,Service_ID46,KPI_1,0.50
22/04/2024,Service_ID46,KPI_1,4.50
23/04/2024,Service_ID46,KPI_1,0.50
24/04/2024,Service_ID46,KPI_1,0.50
25/04/2024,Service_ID46,KPI_1,1.00
26/04/2024,Service_ID46,KPI_1,0.50
27/04/2024,Service_ID46,KPI_1,0.50
28/04/2024,Service_ID46,KPI_1,0.50
29/04/2024,Service_ID46,KPI_1,0.50
02/05/2024,Service_ID46,KPI_1,0.50
03/05/2024,Service_ID46,KPI_1,0.50
04/05/2024,Service_ID46,KPI_1,0.50
05/05/2024,Service_ID46,KPI_1,0.50
06/05/2024,Service_ID46,KPI_1,2.50
